Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  
POWERGRID,03-Oct-23,26-Oct-23,CE,200,5.75,5.75,4.8,5.35,5.25
POWERGRID,04-Oct-23,26-Oct-23,CE,200,4.75,5,3.55,4.7,4.75
POWERGRID,05-Oct-23,26-Oct-23,CE,200,3,4.7,3,3.6,3.6
POWERGRID,06-Oct-23,26-Oct-23,CE,200,3.6,3.75,3,3.4,3.3
POWERGRID,09-Oct-23,26-Oct-23,CE,200,2.6,2.9,2.25,2.65,2.55
POWERGRID,10-Oct-23,26-Oct-23,CE,200,2.75,3.3,2.6,3.1,3.15
POWERGRID,11-Oct-23,26-Oct-23,CE,200,3.2,3.6,2.9,3.15,3.1
POWERGRID,12-Oct-23,26-Oct-23,CE,200,3.15,5,2.9,4.25,4.45
POWERGRID,13-Oct-23,26-Oct-23,CE,200,4.45,4.95,3.55,4.45,4.25
POWERGRID,16-Oct-23,26-Oct-23,CE,200,4.35,5.55,3.5,4.8,4.9
POWERGRID,17-Oct-23,26-Oct-23,CE,200,4.95,9.45,4.9,7.75,7.6
POWERGRID,18-Oct-23,26-Oct-23,CE,200,8.1,8.1,5.4,7.05,6.9
POWERGRID,19-Oct-23,26-Oct-23,CE,200,5.95,8,3.9,6.5,6.4
POWERGRID,20-Oct-23,26-Oct-23,CE,200,5.85,5.85,2.75,3.75,3.9
POWERGRID,23-Oct-23,26-Oct-23,CE,200,3.45,5.65,1.3,1.75,1.5
POWERGRID,25-Oct-23,26-Oct-23,CE,200,1.05,1.6,0.4,0.6,0.7
POWERGRID,26-Oct-23,26-Oct-23,CE,200,0.35,0.85,0.05,0.1,0.1
POWERGRID,27-Oct-23,30-Nov-23,CE,200,4.35,4.95,4.05,4.55,4.55
POWERGRID,30-Oct-23,30-Nov-23,CE,200,4.85,5,3.2,4.2,4.35
POWERGRID,31-Oct-23,30-Nov-23,CE,200,4.55,5.05,4.05,4.7,4.7
POWERGRID,01-Nov-23,30-Nov-23,CE,200,4.5,4.75,3.35,3.6,3.6
POWERGRID,02-Nov-23,30-Nov-23,CE,200,3.9,5.4,3.8,5.2,5.3
POWERGRID,03-Nov-23,30-Nov-23,CE,200,5.5,6.65,5.25,6,5.75
POWERGRID,06-Nov-23,30-Nov-23,CE,200,6.85,8.1,6.55,7.9,7.8
POWERGRID,07-Nov-23,30-Nov-23,CE,200,8,8.6,7,8.35,8.25
POWERGRID,08-Nov-23,30-Nov-23,CE,200,7.75,7.75,5.85,6.05,6
POWERGRID,09-Nov-23,30-Nov-23,CE,200,6.2,8.75,5.45,8.15,8
POWERGRID,10-Nov-23,30-Nov-23,CE,200,8.15,10.35,8.05,9.2,9.2
POWERGRID,12-Nov-23,30-Nov-23,CE,200,8.9,9.6,8.9,9.35,9.45
POWERGRID,13-Nov-23,30-Nov-23,CE,200,8.5,12.4,8.5,10.05,9.6
POWERGRID,15-Nov-23,30-Nov-23,CE,200,9.5,9.5,7.5,7.95,7.5
POWERGRID,16-Nov-23,30-Nov-23,CE,200,8.05,10.15,7.6,8.9,8.7
POWERGRID,17-Nov-23,30-Nov-23,CE,200,8.7,11.7,8.5,10.65,10.45
POWERGRID,20-Nov-23,30-Nov-23,CE,200,10.3,12.05,10.2,10.45,10.6
POWERGRID,21-Nov-23,30-Nov-23,CE,200,9.75,10.05,9.1,10,10
POWERGRID,22-Nov-23,30-Nov-23,CE,200,10.8,13.15,10.8,12.45,12.4
POWERGRID,23-Nov-23,30-Nov-23,CE,200,12.85,13.25,10.2,11.15,11.45
POWERGRID,24-Nov-23,30-Nov-23,CE,200,11,12,10,10.35,10.35
POWERGRID,28-Nov-23,30-Nov-23,CE,200,12,12,9.85,10.9,10.9
POWERGRID,29-Nov-23,30-Nov-23,CE,200,18.9,18.9,9.8,11.3,11.2
POWERGRID,30-Nov-23,30-Nov-23,CE,200,11.3,11.6,8.7,10.7,10.7
