DATE,OPEN,HIGH,LOW,CLOSE
03-Oct-23,198.75,200,196.9,199.55
04-Oct-23,198.9,199.4,195.4,199
05-Oct-23,199.5,199.5,195.35,196.6
06-Oct-23,197,197.45,194.85,197.05
09-Oct-23,196.5,196.9,193.75,196.25
10-Oct-23,196.25,198.55,195.7,197.95
11-Oct-23,197.35,199.15,197.35,198.5
12-Oct-23,197.35,202,197.35,200.75
13-Oct-23,200.45,202.4,199.3,201.8
16-Oct-23,200.3,203.85,200.1,203.05
17-Oct-23,203.55,209,202.6,207.15
18-Oct-23,208.45,208.45,204,206.5
19-Oct-23,204,207.4,202.2,205.8
20-Oct-23,205.2,205.2,200.9,202.85
23-Oct-23,202,205.15,199,199.75
25-Oct-23,199,200.45,197.8,199.5
26-Oct-23,198.75,200,196.3,198.95
27-Oct-23,199.25,201.8,199.15,200.95
30-Oct-23,200.95,202.2,197.65,200.85
31-Oct-23,201.5,202.95,200.55,202.15
01-Nov-23,202.35,202.35,200.5,200.95
02-Nov-23,201.75,203.65,200.9,203.1
03-Nov-23,203.4,206.5,203.1,204.4
06-Nov-23,205,208.95,204.95,208.2
07-Nov-23,208.2,209.1,205.75,208
08-Nov-23,209,209.6,206.65,207
09-Nov-23,207.3,210.5,206.1,209.8
10-Nov-23,210.5,213,209.6,211.15
12-Nov-23,213.6,213.7,211.7,212
13-Nov-23,212,215.1,210.7,212.3
15-Nov-23,215,215,209.8,210.15
16-Nov-23,206.7,208.85,205.7,207.2
17-Nov-23,207.7,210.7,206.9,209.5
20-Nov-23,210.1,211.2,208.85,209.3
21-Nov-23,210,210.15,207.95,208.95
22-Nov-23,208.2,212.6,208.2,211.6
23-Nov-23,212.05,213.1,209.25,210.9
24-Nov-23,211.3,212.1,209.5,210.45
28-Nov-23,214.45,214.45,209.5,210.2
29-Nov-23,210.3,211.45,209.1,211.05
30-Nov-23,210.4,212.8,208.25,208.95
01-Dec-23,211.5,212.45,209.45,210.2
04-Dec-23,211.7,214.1,211.7,212.9
05-Dec-23,213.7,223.25,211.55,222.3
06-Dec-23,226,226.25,222.5,224.4
07-Dec-23,225,232.4,224.25,230
08-Dec-23,231.8,233.4,226.45,228.6
11-Dec-23,228,232.9,226.55,230.95
12-Dec-23,230,233.3,229.5,231.35
13-Dec-23,231,237.5,230.6,236.95
14-Dec-23,237.25,237.6,231.1,232.1
15-Dec-23,235,238.1,227.15,237.35
18-Dec-23,236.9,236.9,231.45,231.85
19-Dec-23,232.15,234.4,230.85,233.55
20-Dec-23,234.95,235.4,226.2,227.15
21-Dec-23,224.45,233.2,222.7,232.35
22-Dec-23,233,234.2,230.5,231.75
26-Dec-23,232,235.8,231.05,233.35
27-Dec-23,235,235.85,232.5,234.05
28-Dec-23,235.1,239.95,234.1,239.1
29-Dec-23,237.8,238.25,234.75,237.2
01-Jan-24,237.9,239.5,236.4,238.25
02-Jan-24,240,240.1,236.15,237.85
03-Jan-24,236,238.7,234.6,237.05
04-Jan-24,238,243.1,237.05,241.45
05-Jan-24,242,245,239.3,241.25
08-Jan-24,242.4,245.25,240.4,242.35
09-Jan-24,242.6,244.65,241.5,242.3
10-Jan-24,241,242.1,238,239.15
11-Jan-24,240.25,243.1,239.2,241.95
