Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  
POWERGRID,03-Oct-23,26-Oct-23,PE,200,5.9,6.85,4.85,5,5.2
POWERGRID,04-Oct-23,26-Oct-23,PE,200,5.7,7.35,4.95,5.25,5.05
POWERGRID,05-Oct-23,26-Oct-23,PE,200,5.45,6.9,5.35,5.95,6.05
POWERGRID,06-Oct-23,26-Oct-23,PE,200,5.65,6.95,5.25,5.35,5.3
POWERGRID,09-Oct-23,26-Oct-23,PE,200,6.65,7.55,5.15,5.7,5.7
POWERGRID,10-Oct-23,26-Oct-23,PE,200,4.95,5.25,4.05,4.25,4.1
POWERGRID,11-Oct-23,26-Oct-23,PE,200,4,4.35,3.55,3.85,4
POWERGRID,12-Oct-23,26-Oct-23,PE,200,3.7,4.2,2.3,2.8,2.75
POWERGRID,13-Oct-23,26-Oct-23,PE,200,3.45,3.45,2.25,2.5,2.45
POWERGRID,16-Oct-23,26-Oct-23,PE,200,3.1,3.1,1.4,1.65,1.55
POWERGRID,17-Oct-23,26-Oct-23,PE,200,1.5,1.5,0.45,0.6,0.6
POWERGRID,18-Oct-23,26-Oct-23,PE,200,0.6,0.85,0.45,0.5,0.5
POWERGRID,19-Oct-23,26-Oct-23,PE,200,0.75,1.05,0.25,0.35,0.35
POWERGRID,20-Oct-23,26-Oct-23,PE,200,0.5,1.35,0.5,0.65,0.65
POWERGRID,23-Oct-23,26-Oct-23,PE,200,0.9,1.6,0.3,1.4,1.35
POWERGRID,25-Oct-23,26-Oct-23,PE,200,1,2.35,0.7,1.3,1.05
POWERGRID,26-Oct-23,26-Oct-23,PE,200,2.05,3.9,1,1.3,1.5
POWERGRID,27-Oct-23,30-Nov-23,PE,200,5.9,5.9,4.45,4.55,4.55
POWERGRID,30-Oct-23,30-Nov-23,PE,200,4.35,6.35,4.35,4.6,4.6
POWERGRID,31-Oct-23,30-Nov-23,PE,200,4.25,4.85,3.45,3.75,3.7
POWERGRID,01-Nov-23,30-Nov-23,PE,200,3.85,4.8,3.75,4.5,4.4
POWERGRID,02-Nov-23,30-Nov-23,PE,200,4.15,4.15,2.65,2.75,2.65
